time,settimanale,mensile,spot,signal,numerical,x_num,valid
0,0,0,0,19.029914868610376,6.3868571347658305,0.0,1
1,1,0,0,17.39977824920295,4.399563299989936,0.0,1
2,2,0,0,17.072701056307203,9.405797231116264,0.0,1
3,3,0,0,17.813294586823417,8.236791458778463,0.0,1
4,4,0,0,13.635413775312964,7.871251978623742,0.0,1
5,5,0,0,19.997381999952847,6.63852694920817,0.0,1
6,6,0,0,20.613430131934415,7.118401711318784,0.0,1
7,0,0,-1,8.480871700801082,4.988006876168901,0.0,1
8,1,0,-1,7.440441518763314,6.182661338274276,0.0,1
9,2,0,-1,5.586249542792798,8.994386559468271,0.0,1
10,3,0,-1,6.3868571347658305,9.285196005002621,0.0,1
11,4,0,-1,4.399563299989936,9.518438681556518,0.0,1
12,5,0,-1,9.405797231116264,8.558700666535495,0.0,1
13,6,0,-1,8.236791458778463,7.311811573937919,0.0,1
14,0,0,-1,7.871251978623742,6.068886195606175,0.0,1
15,1,0,-1,6.63852694920817,5.823745227933831,0.0,1
16,2,0,-1,7.118401711318784,9.533035612520528,0.0,1
17,3,0,-1,4.988006876168901,10.52461372648272,0.0,1
18,4,0,-1,6.182661338274276,8.836831189833068,0.0,1
19,5,0,-1,8.994386559468271,8.233257253116655,0.0,1
20,6,0,-1,9.285196005002621,7.156646943581019,0.0,1
21,0,0,-1,9.518438681556518,7.232415766552285,0.0,1
22,1,0,-1,8.558700666535495,4.694043407937464,0.0,1
23,2,0,-1,7.311811573937919,10.771434047060648,0.0,1
24,3,0,-1,6.068886195606175,12.210137063633457,0.0,1
25,4,0,-1,5.823745227933831,7.89677659846198,0.0,1
26,5,0,-1,9.533035612520528,7.777160805324932,0.0,1
27,6,0,-1,10.52461372648272,6.973187629166481,0.0,1
28,0,0,-1,8.836831189833068,6.162368296318744,0.0,1
29,1,0,-1,8.233257253116655,5.381616712226483,0.0,1
30,2,0,-1,7.156646943581019,9.577903980993742,0.0,1
31,3,1,-1,7.232415766552285,9.54776489743755,0.0,1
32,4,1,-1,4.694043407937464,8.301284721005949,0.0,1
33,5,1,-1,10.771434047060648,7.56798502110709,0.0,1
34,6,1,-1,12.210137063633457,7.76797562196114,0.0,1
35,0,1,-1,7.89677659846198,6.098058627096901,0.0,1
36,1,1,-1,7.777160805324932,5.633001281515618,0.0,1
37,2,1,-1,6.973187629166481,7.92042086584266,0.0,1
38,3,1,-1,6.162368296318744,10.903279150099449,0.0,1
39,4,1,-1,5.381616712226483,9.84398316260857,0.0,1
40,5,1,-1,9.577903980993742,8.032152612324147,0.0,1
41,6,1,-1,9.54776489743755,5.842981971598978,0.0,1
42,0,1,-1,8.301284721005949,6.4995196087269,0.0,1
43,1,1,-1,7.56798502110709,5.746009519729801,0.0,1
44,2,1,-1,7.76797562196114,10.04600253675878,0.0,1
45,3,1,-1,6.098058627096901,11.361689843146987,0.0,1
46,4,1,-1,5.633001281515618,7.6913221928319375,0.0,1
47,5,1,-1,7.92042086584266,8.0479570458314,0.0,1
48,6,1,-1,10.903279150099449,7.787429049723225,0.0,1
49,0,1,-1,9.84398316260857,5.989987055043001,0.0,1
50,1,1,-1,8.032152612324147,4.592795152055347,0.0,1
51,2,1,-1,5.842981971598978,8.257327715616118,0.0,1
52,3,1,-1,6.4995196087269,9.27692219288184,0.0,1
53,4,1,-1,5.746009519729801,8.106048922549924,0.0,1
54,5,1,-1,10.04600253675878,7.817182812044344,0.0,1
55,6,1,-1,11.361689843146987,7.971409947323589,0.0,1
56,0,1,-1,7.6913221928319375,5.602417782451562,0.0,1
57,1,1,-1,8.0479570458314,5.315545877102423,0.0,1
58,2,1,-1,7.787429049723225,8.971185327365827,0.0,1
59,3,2,-1,5.989987055043001,10.08242711863745,0.0,1
60,4,2,-1,4.592795152055347,10.962636301581945,0.0,1
61,5,2,-1,8.257327715616118,7.1237417593991035,0.0,1
62,6,2,-1,9.27692219288184,6.705610494935019,0.0,1
63,0,2,-1,8.106048922549924,3.7772199145917305,0.0,1
64,1,2,-1,7.817182812044344,4.413106091787244,0.0,1
65,2,2,-1,7.971409947323589,9.274846565494396,0.0,1
66,3,2,-1,5.602417782451562,10.374219574383597,0.0,1
67,4,2,-1,5.315545877102423,8.021261175626602,0.0,1
68,5,2,-1,8.971185327365827,8.202293663827113,0.0,1
69,6,2,-1,10.08242711863745,5.908628495754966,0.0,1
70,0,2,-1,10.962636301581945,6.301374219717441,0.0,1
71,1,2,-1,7.1237417593991035,5.7310909483465755,0.0,1
72,2,2,-1,6.705610494935019,11.112690533219768,0.0,1
73,3,2,-1,3.7772199145917305,9.858725483738773,0.0,1
74,4,2,-1,4.413106091787244,8.536183723701543,0.0,1
75,5,2,-1,9.274846565494396,7.482151970889224,0.0,1
76,6,2,-1,10.374219574383597,6.109078445095107,0.0,1
77,0,2,-1,8.021261175626602,6.13667883362809,0.0,1
78,1,2,-1,8.202293663827113,7.515997635714802,0.0,1
79,2,3,-1,5.908628495754966,9.454809974429486,0.0,1
80,3,3,-1,6.301374219717441,10.154005129470317,0.0,1
81,4,3,-1,5.7310909483465755,9.269802085008592,0.0,1
82,5,3,-1,11.112690533219768,7.82933836705347,0.0,1
83,6,3,-1,9.858725483738773,9.1417864654401,0.0,1
84,0,3,-1,8.536183723701543,6.605147941399123,0.0,1
85,1,3,-1,7.482151970889224,4.830315455461631,0.0,1
86,2,3,-1,6.109078445095107,8.922800141622425,0.0,1
87,3,3,-1,6.13667883362809,10.908072690378852,0.0,1
88,4,3,-1,7.515997635714802,8.262185153259088,0.0,1
89,5,4,-1,9.454809974429486,9.10003237172175,0.0,1
90,6,4,-1,10.154005129470317,18.15363084978721,0.0,1
91,0,4,-1,9.269802085008592,15.01273857199988,0.0,1
92,1,4,-1,7.82933836705347,15.092359133735329,0.0,1
93,2,4,-1,9.1417864654401,18.62206204726628,0.0,1
94,3,4,-1,6.605147941399123,19.535746846209594,0.0,1
95,4,4,-1,4.830315455461631,18.454270418281613,0.0,1
96,5,4,-1,8.922800141622425,19.501936909944952,0.0,1
97,6,4,-1,10.908072690378852,7.679955312203485,0.0,1
98,0,4,-1,8.262185153259088,5.595215815135234,0.0,1
99,1,4,-1,9.10003237172175,5.483798622817166,0.0,1
100,2,4,0,18.15363084978721,9.462550363437671,0.0,1
101,3,4,0,15.01273857199988,8.594850553495142,0.0,1
102,4,4,0,15.092359133735329,8.591494553113757,0.0,1
103,5,4,0,18.62206204726628,4.924334888570107,0.0,1
104,6,4,0,19.535746846209594,7.291430216462458,0.0,1
105,0,4,0,18.454270418281613,5.295275792996551,0.0,1
106,1,4,0,19.501936909944952,4.2032217749709,0.0,1
107,2,4,-1,7.679955312203485,6.918116686806721,0.0,1
108,3,4,-1,5.595215815135234,8.845915469997555,0.0,1
109,4,4,-1,5.483798622817166,7.7683107666177715,0.0,1
110,5,4,-1,9.462550363437671,7.660969434698364,0.0,1
111,6,4,-1,8.594850553495142,7.840391949307548,0.0,1
112,0,4,-1,8.591494553113757,7.357765561548174,0.0,1
113,1,4,-1,4.924334888570107,5.7436987521458285,0.0,1
114,2,4,-1,7.291430216462458,7.548191581008995,0.0,1
115,3,4,-1,5.295275792996551,8.424783670636527,0.0,1
116,4,4,-1,4.2032217749709,9.086768220279192,0.0,1
117,5,4,-1,6.918116686806721,6.537415442767771,0.0,1
118,6,4,-1,8.845915469997555,5.675157191895914,0.0,1
119,0,4,-1,7.7683107666177715,6.903202915083942,0.0,1
120,1,4,-1,7.660969434698364,4.036026929776256,0.0,1
121,2,4,-1,7.840391949307548,8.845585377111576,0.0,1
122,3,0,-1,7.357765561548174,9.052593684507588,0.0,1
123,4,0,-1,5.7436987521458285,8.908505560234596,0.0,1
124,5,0,-1,7.548191581008995,8.1708402166993,0.0,1
125,6,0,-1,8.424783670636527,5.3461786702932645,0.0,1
126,0,0,-1,9.086768220279192,4.421869117615996,0.0,1
127,1,0,-1,6.537415442767771,6.202126685588584,0.0,1
128,2,0,-1,5.675157191895914,8.330139012048607,0.0,1
129,3,0,-1,6.903202915083942,8.161436127670221,0.0,1
130,4,0,-1,4.036026929776256,7.8234588578475455,0.0,1
131,5,0,-1,8.845585377111576,7.038054118538589,0.0,1
132,6,0,-1,9.052593684507588,8.359165215363792,0.0,1
133,0,0,-1,8.908505560234596,6.039615301509628,0.0,1
134,1,0,-1,8.1708402166993,2.102201480147065,0.0,1
135,2,0,-1,5.3461786702932645,9.997455955932573,0.0,1
136,3,0,-1,4.421869117615996,8.28461061663242,0.0,1
137,4,0,-1,6.202126685588584,6.904451976770479,0.0,1
138,5,0,-1,8.330139012048607,6.875847380145273,0.0,1
139,6,0,-1,8.161436127670221,5.768367285373083,0.0,1
140,0,0,-1,7.8234588578475455,6.558394483045384,0.0,1
141,1,0,-1,7.038054118538589,4.577399663412194,0.0,1
142,2,0,-1,8.359165215363792,9.28859513906449,0.0,1
143,3,0,-1,6.039615301509628,9.195645177141095,0.0,1
144,4,0,-1,2.102201480147065,6.164524914882128,0.0,1
145,5,0,-1,9.997455955932573,8.007783408743903,0.0,1
146,6,0,-1,8.28461061663242,5.745280178039416,0.0,1
147,0,0,-1,6.904451976770479,4.849810699984439,0.0,1
148,1,0,-1,6.875847380145273,4.110368384211877,0.0,1
